frame_number,time(min),time(sec),time(subsec),d_1(m),s_1(m),d_2(m),s_2(m)
0,1,30,0,-0.6,12.3,NN,NN,
1,1,30,1,-0.7,12.3,NN,NN,
2,1,30,2,-6.5,10.9,NN,NN,
3,1,30,3,-43.2,11.1,NN,NN,
4,1,30,4,-48.8,10.6,NN,NN,
5,1,30,5,-56.3,10.9,NN,NN,
6,1,30,6,-12.3,10.7,NN,NN,
7,1,30,7,-13.3,10.7,NN,NN,
8,1,30,8,-76.8,10.1,NN,NN,
9,1,30,9,-80.6,10.3,NN,NN,
10,1,30,10,-86.2,9.7,NN,NN,
11,1,30,11,-88.0,9.4,NN,NN,
12,1,30,12,88.2,9.9,NN,NN,
13,1,30,13,32.6,10.4,NN,NN,
14,1,30,14,14.7,10.6,NN,NN,
15,1,30,15,15.9,10.0,NN,NN,
16,1,30,16,10.9,9.7,NN,NN,
17,1,30,17,11.5,9.6,NN,NN,
18,1,30,18,12.4,9.3,NN,NN,
19,1,30,19,19.6,9.5,NN,NN,
20,1,30,20,132.9,9.3,NN,NN,
21,1,30,21,48.6,9.7,NN,NN,
22,1,30,22,-173.9,9.2,NN,NN,
23,1,30,23,51.2,9.3,NN,NN,
24,1,30,24,51.8,9.5,NN,NN,
25,1,30,25,147.8,9.6,NN,NN,
26,1,30,26,-201.9,9.0,NN,NN,
27,1,30,27,-207.5,9.0,NN,NN,
28,1,30,28,58.7,8.9,NN,NN,
29,1,30,29,60.3,9.0,NN,NN,
30,1,31,0,17.2,8.4,NN,NN,
31,1,31,1,13.0,8.2,NN,NN,
32,1,31,2,4.3,8.1,NN,NN,
33,1,31,3,18.7,8.4,NN,NN,
34,1,31,4,23.0,8.2,NN,NN,
35,1,31,5,14.4,7.8,NN,NN,
36,1,31,6,14.6,7.5,NN,NN,
37,1,31,7,4.8,7.2,NN,NN,
38,1,31,8,5.2,7.0,NN,NN,
39,1,31,9,14.8,6.5,NN,NN,
40,1,31,10,9.7,6.6,NN,NN,
41,1,31,12,21.7,7.1,NN,NN,
42,1,31,13,11.0,6.7,NN,NN,
43,1,31,14,9.5,6.5,NN,NN,
44,1,31,15,10.3,6.4,NN,NN,
45,1,31,16,10.1,6.8,NN,NN,
46,1,31,17,9.0,6.4,NN,NN,
47,1,31,18,8.0,6.3,NN,NN,
48,1,31,19,7.2,6.5,NN,NN,
49,1,31,20,7.7,6.0,NN,NN,
50,1,31,21,6.0,6.1,NN,NN,
51,1,31,22,6.1,5.8,NN,NN,
52,1,31,23,6.2,5.9,NN,NN,
53,1,31,24,6.3,5.6,NN,NN,
54,1,31,25,6.3,5.7,NN,NN,
55,1,31,26,6.5,5.4,NN,NN,
56,1,31,27,6.6,5.3,NN,NN,
57,1,31,28,6.8,5.3,NN,NN,
58,1,31,29,6.0,5.2,NN,NN,
59,1,32,0,6.0,5.0,NN,NN,
60,1,32,1,5.7,5.0,NN,NN,
61,1,32,2,5.8,4.9,NN,NN,
62,1,32,3,5.5,4.9,NN,NN,
63,1,32,4,5.3,4.7,NN,NN,
64,1,32,5,5.4,4.6,NN,NN,
65,1,32,6,5.6,4.6,NN,NN,
66,1,32,7,5.5,4.3,NN,NN,
67,1,32,8,5.5,4.3,NN,NN,
68,1,32,9,5.4,4.2,NN,NN,
69,1,32,10,5.5,4.3,NN,NN,
70,1,32,11,5.8,4.4,NN,NN,
71,1,32,12,6.3,4.2,NN,NN,
72,1,32,13,6.5,4.5,NN,NN,
73,1,32,14,7.0,4.3,NN,NN,
74,1,32,15,6.9,4.4,NN,NN,
75,1,32,16,6.8,4.3,NN,NN,
76,1,32,17,6.7,4.2,NN,NN,
77,1,32,18,6.5,4.1,NN,NN,
78,1,32,19,6.4,4.0,NN,NN,
79,1,32,20,6.9,3.9,NN,NN,
80,1,32,21,7.5,3.8,NN,NN,
81,1,32,22,7.2,3.7,NN,NN,
82,1,32,23,7.2,3.6,NN,NN,
83,1,32,24,8.5,3.5,NN,NN,
84,1,32,25,7.7,3.5,NN,NN,
85,1,32,26,7.7,3.4,NN,NN,
86,1,32,27,8.5,3.3,NN,NN,
87,1,32,28,9.2,3.3,NN,NN,
88,1,32,29,9.1,3.2,NN,NN,
89,1,33,0,10.3,2.9,NN,NN,
90,1,33,1,11.0,2.9,NN,NN,
91,1,33,2,10.3,2.8,NN,NN,
92,1,33,3,11.6,2.8,NN,NN,
93,1,33,4,10.7,2.7,NN,NN,
94,1,33,5,10.4,2.6,NN,NN,
95,1,33,6,11.4,2.5,NN,NN,
96,1,33,7,12.4,2.4,NN,NN,
97,1,33,8,10.8,2.4,NN,NN,
98,1,33,9,10.9,2.3,NN,NN,
99,1,33,10,14.8,2.4,NN,NN,
100,1,33,11,6.7,2.4,NN,NN,
101,1,33,12,11.7,2.5,NN,NN,
102,1,33,13,12.9,2.5,NN,NN,
103,1,33,14,13.0,2.4,NN,NN,
104,1,33,15,13.3,2.5,NN,NN,
105,1,33,16,10.7,2.4,NN,NN,
